City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
113,Port Alfred,ZA,2021-08-08 23:55:51,-33.5906,26.891,scattered clouds,59.0,84,47,13.4
114,Provideniya,RU,2021-08-08 23:48:55,64.3833,-173.3,scattered clouds,51.91,66,40,15.66
115,Iqaluit,CA,2021-08-08 23:50:42,63.7506,-68.5145,light rain,42.53,93,90,9.22
116,Ribeira Grande,PT,2021-08-08 23:59:45,38.5167,-28.7,broken clouds,72.86,87,53,16.15
117,Puerto Ayora,EC,2021-08-08 23:59:46,-0.7393,-90.3518,scattered clouds,70.56,88,43,5.99
118,Basco,PH,2021-08-08 23:50:56,20.4487,121.9702,overcast clouds,83.93,82,100,15.7
119,Dikson,RU,2021-08-08 23:59:46,73.5069,80.5464,clear sky,41.59,98,2,7.85
120,Mareeba,AU,2021-08-08 23:59:47,-17.0,145.4333,scattered clouds,73.44,70,41,7.85
121,Jamame,SO,2021-08-08 23:59:47,0.0722,42.7506,broken clouds,74.68,84,73,14.7
122,Chokurdakh,RU,2021-08-08 23:50:55,70.6333,147.9167,broken clouds,67.84,40,64,14.85
123,Avarua,CK,2021-08-08 23:59:47,-21.2078,-159.775,few clouds,78.85,69,20,12.66
124,Sokoni,TZ,2021-08-08 23:52:13,-6.4333,39.55,clear sky,68.29,76,5,13.96
125,Songjianghe,CN,2021-08-08 23:59:48,42.1859,127.479,clear sky,72.39,55,0,2.57
126,Qaanaaq,GL,2021-08-08 23:59:48,77.484,-69.3632,few clouds,39.51,72,18,4.21
127,Bubaque,GW,2021-08-08 23:58:08,11.2833,-15.8333,moderate rain,76.87,88,100,8.19
128,Palestina,PS,2021-08-08 23:59:49,31.9216,35.2033,clear sky,71.94,61,0,4.36
129,Mahebourg,MU,2021-08-08 23:57:41,-20.4081,57.7,light rain,68.29,94,75,3.44
130,Kodiak,US,2021-08-08 23:56:44,57.79,-152.4072,broken clouds,59.56,59,59,11.07
131,Zhangye,CN,2021-08-08 23:59:49,38.9342,100.4517,clear sky,72.63,33,0,6.33
132,Barranca,PE,2021-08-08 23:59:49,-10.75,-77.7667,scattered clouds,62.29,81,45,11.36
133,Trairi,BR,2021-08-08 23:56:46,-3.2778,-39.2689,clear sky,79.18,76,8,13.85
134,Aksay,RU,2021-08-08 23:59:50,47.26,39.87,overcast clouds,74.14,65,98,4.59
