City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Hofn,IS,2021-08-08 23:31:50,64.2539,-15.2082,55.89,75,13,2.48
220,Ancud,CL,2021-08-08 23:27:14,-41.8697,-73.8203,44.42,82,13,4.07
221,Faanui,PF,2021-08-08 23:31:50,-16.4833,-151.75,79.05,77,22,12.37
222,Piney Green,US,2021-08-08 23:31:51,34.716,-77.3202,82.33,81,1,6.91
223,Rorvik,NO,2021-08-08 23:31:52,64.8621,11.2373,57.15,86,83,9.89
224,Bethel,US,2021-08-08 23:31:52,41.3712,-73.414,77.76,79,75,4.61
225,Aklavik,CA,2021-08-08 23:31:52,68.2191,-135.0107,57.92,41,11,4.12
226,Pevek,RU,2021-08-08 23:31:52,69.7008,170.3133,37.54,81,27,10.87
227,Hualmay,PE,2021-08-08 23:31:53,-11.0964,-77.6139,62.47,82,40,13.06
228,Udachnyy,RU,2021-08-08 23:31:53,66.4167,112.4,59.05,71,48,1.61
229,Bac Lieu,VN,2021-08-08 23:31:54,9.285,105.7244,81.91,80,60,10.94
230,Hay River,CA,2021-08-08 23:31:54,60.8156,-115.7999,51.78,66,75,1.14
231,Marau,BR,2021-08-08 23:31:54,-28.4492,-52.2,60.3,70,3,3.31
232,Maceio,BR,2021-08-08 23:31:56,-9.6658,-35.7353,72.84,94,75,6.91
233,Tekkali,IN,2021-08-08 23:31:56,18.6167,84.2333,81.0,87,96,5.03
234,Ust-Tsilma,RU,2021-08-08 23:31:57,65.441,52.1498,43.77,93,81,2.71
235,Zhuhai,CN,2021-08-08 23:31:57,22.2769,113.5678,83.98,94,40,9.22
236,Boca Do Acre,BR,2021-08-08 23:31:58,-8.7522,-67.3978,81.77,37,8,1.99
237,Ballina,AU,2021-08-08 23:31:58,-28.8667,153.5667,62.56,63,75,12.66
238,Boca De Parita,PA,2021-08-08 23:31:59,8.0167,-80.45,75.16,81,84,2.19
239,Sao Filipe,CV,2021-08-08 23:29:45,14.8961,-24.4956,79.02,85,28,3.53
240,Marabba,SD,2021-08-08 23:32:00,12.35,32.1833,73.47,85,100,5.37
241,Lakes Entrance,AU,2021-08-08 23:32:00,-37.8811,147.981,54.23,56,7,3.49
242,Port-Cartier,CA,2021-08-08 23:27:08,50.0334,-66.8654,61.93,62,3,5.97
243,Kaduna,NG,2021-08-08 23:32:00,10.5222,7.4383,69.66,96,95,7.07
244,Enumclaw,US,2021-08-08 23:27:58,47.2043,-121.9915,74.43,55,57,1.99
245,Turukhansk,RU,2021-08-08 23:32:02,65.8167,87.9833,59.4,59,25,5.21
246,Ilhabela,BR,2021-08-08 23:32:02,-23.7781,-45.3581,65.41,77,9,4.92
247,Benghazi,LY,2021-08-08 23:32:02,32.1167,20.0667,81.0,61,0,18.01
248,Souillac,MU,2021-08-08 23:32:03,-20.5167,57.5167,68.38,94,75,3.44
249,Coahuayana,MX,2021-08-08 23:32:04,18.7333,-103.6833,85.48,74,55,7.27
250,Shelburne,CA,2021-08-08 23:32:04,44.0787,-80.2041,75.96,83,99,4.83
251,Port Hueneme,US,2021-08-08 23:32:04,34.1478,-119.1951,99.19,68,1,11.5
252,El Tocuyo,VE,2021-08-08 23:32:05,9.7873,-69.7937,71.46,82,93,3.36
253,Maharajganj,IN,2021-08-08 23:32:05,27.1333,83.5667,78.37,96,96,6.73
254,Kodiak,US,2021-08-08 23:30:16,57.79,-152.4072,63.91,55,75,11.5
255,Faya,SA,2021-08-08 23:32:06,18.3851,42.4509,77.52,41,58,4.43
256,Netivot,IL,2021-08-08 23:32:06,31.4222,34.5886,77.61,79,0,3.2
257,Samarai,PG,2021-08-08 23:32:06,-10.6167,150.6667,78.67,77,99,11.81
