City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
309,Hasaki,JP,88.2,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
313,Bud,US,82.8,broken clouds,39.447,-86.1758,Ted McQuinn Trust
320,Ranong,TH,79.97,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
329,Conceicao Do Araguaia,BR,78.8,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
330,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
331,Formosa,AR,78.82,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
339,Bac Lieu,VN,81.91,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
341,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
342,Puerto Escondido,MX,81.46,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
345,Kos,GR,78.71,clear sky,36.8933,27.2889,Americana Hotel
351,Kokopo,PG,82.85,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
355,Gaogou,CN,79.16,light rain,34.0175,119.1886,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
360,Cedar City,US,88.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
362,Marsh Harbour,BS,83.66,few clouds,26.5412,-77.0636,Abaco Beach Resort
366,Laramie,US,84.79,few clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
367,Karmala,IN,75.54,overcast clouds,18.4167,75.2,Hotel Ashutosh And Lodge
370,Mogadishu,SO,76.33,light rain,2.0371,45.3438,Hotel Juba
372,Myitkyina,MM,75.27,moderate rain,25.3833,97.4,Shwe Phyu Hotel
374,Itarema,BR,79.38,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
375,San Pedro,PH,84.31,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
379,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
383,Waingapu,ID,78.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
385,Yamada,JP,76.21,overcast clouds,39.4667,141.95,Iroha-ya Inn
389,Wadi Maliz,TN,84.83,clear sky,36.4681,8.5495,HOPITAL
390,Palmer,US,76.42,broken clouds,42.1584,-72.3287,Wedgewood Motel
391,Westport,US,76.32,moderate rain,41.1415,-73.3579,The Westport Inn
393,Lorengau,PG,83.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
395,Urucara,BR,82.99,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
398,Jalu,LY,84.09,clear sky,29.0331,21.5482,صاحبة الفخامة
401,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
402,Naze,JP,83.32,clear sky,28.3667,129.4833,Amami Port Tower Hotel
412,Hobyo,SO,76.3,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
414,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
419,Kloulklubed,PW,82.9,moderate rain,7.0419,134.2556,Storyboard Beach Resort
422,Marsaxlokk,MT,81.21,clear sky,35.8419,14.5431,Water's Edge
428,Anzio,IT,79.86,broken clouds,41.4853,12.6179,Beauty Hotel & SPA
430,Kimbe,PG,84.06,light rain,-5.5502,150.1429,Kimbe Bay Hotel
435,Mabay,PH,80.37,overcast clouds,6.0577,124.4666,Bautista Lodging House
436,Kharan,PK,83.75,clear sky,28.5833,65.4167,Dil Aram Bangla
438,Touros,BR,75.65,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
440,Makat,KZ,78.12,scattered clouds,47.6469,53.3463,Umit
442,Acarau,BR,79.39,few clouds,-2.8856,-40.12,castelo pizzaria
444,Aden,YE,82.62,broken clouds,12.7794,45.0367,Sama Emirate Hotel
445,Cape Canaveral,US,82.98,overcast clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
446,Sao Felix Do Xingu,BR,79.9,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
448,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
450,Loiza,PR,82.87,overcast clouds,18.4313,-65.8802,Malibu Beachfront
452,Carmen,MX,84.61,few clouds,18.6333,-91.8333,Hotel Lossandes
454,Porto Velho,BR,81.64,clear sky,-8.7619,-63.9039,Hotel Central
458,Jabinyanah,TN,80.89,clear sky,35.035,10.9081,maison belmabrouk
463,Shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
465,Khash,IR,77.41,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
467,San Andres,CO,81.64,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
475,Santo Antonio Do Leverger,BR,80.94,scattered clouds,-15.8656,-56.0767,Chácara Do SINETRAN
476,Emmett,US,87.17,scattered clouds,43.8735,-116.4993,Holiday Motel & R.V Park
480,Broome,US,78.66,scattered clouds,42.2506,-75.833,Chenango Valley State Park
481,Smithers,CA,77.14,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
484,Yatou,CN,79.0,broken clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
485,Dakar,SN,82.53,thunderstorm,14.6937,-17.4441,Redface Studios Meublés
489,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
490,Yoichi,JP,75.34,light rain,43.2039,140.7703,Marumatta Farm 21
496,Sinnamary,GF,79.43,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
501,Cukai,MY,77.74,few clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
503,Haikou,CN,85.15,overcast clouds,20.0458,110.3417,Sun City Restaurant
507,Roma,US,78.94,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
509,Dryden,CA,79.7,scattered clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
514,Yarmouth,US,76.96,clear sky,41.7057,-70.2286,Blue Rock Resort
517,Kilindoni,TZ,75.69,clear sky,-7.9139,39.6668,Bustani B&B
523,Komsomolskiy,UZ,76.42,clear sky,40.4272,71.7189,Ikathouse
524,Tabou,CI,75.47,light rain,4.423,-7.3528,hotêl doufoulougou
525,Saint-Georges,GD,80.74,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
530,Tecolutla,MX,85.5,few clouds,20.4833,-97.0167,Hotel Plaza Marsol
531,Srivardhan,IN,79.14,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
532,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
533,Almeirim,BR,78.78,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
534,Pacific Grove,US,89.02,scattered clouds,36.6177,-121.9166,Lovers Point Inn
535,Colon,PA,78.24,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
537,Tondi,IN,82.45,overcast clouds,9.7333,79.0167,Star Lodge
538,Roswell,US,84.79,overcast clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
542,Ouargaye,BF,75.38,light rain,11.5033,0.0572,Résidence le Cotonnier
544,Morro Bay,US,87.93,few clouds,35.3658,-120.8499,Inn at Morro Bay
545,Kyaiklat,MM,79.07,overcast clouds,16.4333,95.7333,Ayar San Girls Hostel
548,Mandera,KE,75.69,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
552,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
556,Puerto Asis,CO,78.22,broken clouds,0.5133,-76.5007,Ayawaska Hostal
566,Santa Teresa,VE,81.52,broken clouds,10.2341,-66.6631,Funeraria Lira
567,Guadalajara,MX,81.99,overcast clouds,20.6667,-103.3333,Hotel Aranzazú
571,Griffith,US,83.1,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
576,Kapit,MY,75.76,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
577,Sorong,ID,80.2,overcast clouds,-0.8833,131.25,waigo splash hotel
580,Wilmington,US,80.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
586,Vaitape,PF,79.03,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
592,Kenora,CA,81.82,clear sky,49.8167,-94.4337,Maynard Lake Lodge
600,Bafq,IR,82.8,clear sky,31.6128,55.4107,Alamdar Hotel
601,Lebanon,US,86.76,scattered clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
602,Constantine,DZ,80.26,clear sky,36.365,6.6147,Grand Hotel Cirta
603,Sterling,US,85.01,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
605,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,Nuli Sapi
607,Carutapera,BR,75.22,clear sky,-1.195,-46.02,Lidera
611,Bali,ID,77.97,broken clouds,-8.5,115.0,"Pondok Pitaya: Hotel, Surfing and Yoga"
612,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
613,Manali,IN,84.29,broken clouds,13.1667,80.2667,Sarathy Lodge
617,Linqiong,CN,75.63,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
623,Umm Lajj,SA,87.17,clear sky,25.0213,37.2685,Moon light Furnished Units
624,West Plains,US,85.03,broken clouds,36.7281,-91.8524,West Plains Motel
627,Fomboni,KM,77.05,broken clouds,-12.28,43.7425,Auberge les abou
630,Jibuti,DJ,87.01,few clouds,11.5,42.5,Orchid Main Camp Goubet
631,Tefe,BR,79.7,broken clouds,-3.3542,-64.7114,Aracati Hotel
632,Puerto Lempira,HN,79.57,broken clouds,15.2667,-83.7667,Hotel Yu baiwan
633,Vila Do Maio,CV,79.97,scattered clouds,15.1333,-23.2167,Hotel Marilu
637,Tazmalt,DZ,82.69,scattered clouds,36.3868,4.3989,Hôtel Numédia
647,Santa Marta,CO,84.97,overcast clouds,11.2408,-74.199,Casa de Isabella
649,Najran,SA,83.05,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
654,Owase,JP,80.13,overcast clouds,34.0667,136.2,Business Hotel Phoenix
660,Acapulco,MX,83.17,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
662,Pattaya,TH,80.64,overcast clouds,12.9333,100.8833,Avani Pattaya Resort
665,Pakxan,LA,78.21,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
666,Florida,US,86.9,clear sky,28.7505,-82.5001,Sportsmens Cove
668,Umarga,IN,75.54,overcast clouds,17.8333,76.6167,Abhishek Chavan
669,Nagato,JP,75.65,light rain,34.3833,131.2,いそう庵
670,Alta Floresta,BR,82.4,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
673,Kathu,TH,75.02,broken clouds,7.9178,98.3332,Novotel Phuket Resort
676,Dubti,ET,88.83,scattered clouds,11.7361,41.0853,degu Shiferaw
684,Bairiki,KI,83.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
686,Maningrida,AU,76.01,few clouds,-12.0667,134.2667,Dhukurrdji Lodge
688,Kirakira,SB,82.49,scattered clouds,-10.4544,161.9205,SanBiz Lodge
